0,1,2,3,4,5,6,7,class
211358.30968153127,39376.79807181756,11093.004641979755,7492.978210470089,3878.9500253993965,2671.755930608419,2588.352103459094,1831.461085538136,0
109821.31014193737,36005.08529933078,24901.678527583135,24894.55639060952,12338.219409273359,8373.393876153381,7548.948059938723,4859.523106405419,0
2549783.5531033888,1125443.544382216,589097.6516970126,339185.23764714494,221951.00977189455,160233.3755509409,128117.42093292996,85033.2288779449,0
9199571.191794451,3468012.236811631,1598714.4743583852,928099.5129117954,607331.5583704279,418001.15527124534,298267.49468405714,227734.92007535393,0
840013.452727702,158520.45601523225,63305.29718984634,44205.80340730856,21186.946850900167,12504.818129100482,11438.60183849193,7311.9598594046,0
539919.5127250283,89404.07507835951,20071.084384603684,8902.259355320157,4336.025813902022,3105.4989267805213,2929.749295011598,2283.8125838321575,0
9139.97793666242,1759.0282778581275,998.0942701634507,797.8130649727964,664.1169214029164,564.3472190261015,537.1639538132357,458.37536821001464,0
31615.880766098522,8538.307517803769,4576.043330159074,3464.5565829037337,2927.9807250594326,2647.7929909920827,2399.196075738044,2077.333706885228,0
4798095.955830194,1975054.7931612225,854497.3962703885,482244.71922726475,296090.49078225327,222651.2938350171,154209.29871651606,104524.82862614958,0
2177312.8012560327,1634760.2958678815,548929.9952210152,354720.7782576663,208394.69541811204,144297.93262118642,114455.35147635784,77714.71683064144,0
1314312.1193676228,382035.1028356866,214444.53929629526,149533.681796422,95188.35630699003,69193.32363801333,56282.93222599263,38310.263271798816,0
124105.76874187523,91284.96835829789,60573.54259786638,67624.53808594153,52178.626707315336,29019.491129752674,34012.07629651639,18020.67342601593,0
1936137.9273026309,803548.2525684804,342381.21498279297,200428.2028917456,120115.86638363411,78849.3991067029,57891.24346197005,42330.969168834694,0
3566987.145414745,904608.770378588,398901.62508570775,249594.97115977068,153297.14257379857,115989.02105979015,83000.9074679064,67318.17719987508,0
2368095.186462506,820391.0173270206,361653.876450784,208292.24023317668,136366.5151435778,98376.2315609104,71228.46859557091,48055.733802608476,0
3382100.1829955652,1229116.7667577665,523437.4318229206,270974.11278374953,209877.3856977674,127697.55708230026,100115.89232407612,72020.9192571577,0
1314199.5203819568,743667.0315583693,323531.31639281614,190695.33409076722,106762.65581074392,75514.90391319663,56511.3611235811,54429.78602138566,0
1193865.7371325141,575023.8221757221,402972.1219533639,331312.6532657638,140780.42874433633,146478.00418720779,112158.02711484126,60948.04622265809,0
3117159.2170812483,800540.5362931835,446240.63031097886,271315.0391629448,166249.10843356777,114001.07240384715,85077.96991657576,64464.97240335291,0
26890.48096500655,7793.078071710083,5171.6053866162365,5129.599471613234,2264.380009679871,964.7829572332548,926.5620063481803,763.9447342582866,0
23325.626639073864,6537.200483265783,4001.4950117048684,4153.668929193084,3382.8849615599406,2861.930528023398,2600.532044121051,2254.4079092660213,0
442126.226294145,506691.5849746658,176476.75567388834,112812.80610776458,45609.08049329912,38001.679043812044,31334.706154964744,18891.09167849418,0
25459.76975261343,6506.529336278295,2497.740393394502,1886.9852298841433,1692.0150660968459,1793.0257138234927,1521.9631863087645,1190.864295046507,0
265195.41904377466,50722.939114124434,16968.01055190692,9617.939897660759,4635.452112051056,3225.5370390433613,2966.7705808977203,2270.201479093716,0
866369.4682301908,901902.7744352111,697879.3488026361,305605.60393257707,166220.03568531334,174646.39468708905,86413.24908631136,70244.84493388087,0
44611.75121989049,8506.462799591209,4207.3068374159175,3075.5077272046465,2637.783094367223,2346.76470068659,2224.969037093092,1794.6355651602796,0
54729.26234314257,14066.399905352337,5728.315024261312,22182.429585846923,16023.312410362272,3247.7102102370272,2517.0880551897712,2614.7765890135493,0
61243.65829867572,12956.083714697985,5479.710919784879,4572.066771172742,3735.244001077502,3263.9729719944185,2961.51224300087,2190.736439006436,0
66269.76671647873,25435.760432378698,9596.491657963741,6020.990423729283,4026.321244328303,3608.2488180795153,3154.233022878029,2484.3092192389836,0
106651.97703692953,18706.944701616234,5348.916345334402,3070.7548801635967,2310.4303057073885,2093.6435211380713,1858.5128713511626,1614.0008895736478,0
45572.109181502536,14699.730042998808,6527.153179094075,3969.392361507733,3345.9021544296443,3087.4238658259037,2642.356914022403,2267.1423994413285,0
716276.7819375796,146904.7744602428,46755.166073568704,27723.648030988545,14966.447576849047,9382.253247973054,7516.047870030466,5643.506437576342,0
1542358.343537605,267269.1747672049,105256.3619148909,80507.80204323851,37732.559246022756,25197.022113723877,21345.175261071796,15416.60422543663,0
937263.6340370141,494473.98968637455,302291.2673288021,225133.66785864992,139487.0962266657,91214.75211642569,62420.88970830942,40129.871479267946,0
3032404.0483531617,1482092.9556697072,592131.5419281465,355532.5215900385,220591.58342550846,156458.73940675738,127198.44400920754,85085.58555728829,0
1179165.6945446644,213762.50527703643,141497.65559947275,74664.29922470849,48825.767111225396,36184.38361164254,28093.70409492798,20503.428309987954,0
803651.4639531791,296877.76544783637,150237.9448117481,98835.86548624012,63584.65495660323,51517.58381095591,34776.34581057128,26141.70502387501,0
5543655.65042575,2441338.0999570563,1083047.3030976597,635444.0451686609,400236.32002272375,305234.3487432966,211576.53967302872,155376.81079935588,0
527720.3808898949,579265.7434245773,407767.34802940296,355032.14694543846,226928.69935550384,131353.45060892036,89658.53425467668,81693.65610849147,0
6831455.13907508,2700277.749435695,1227917.3231833053,688330.3418562924,435315.2426619969,311946.2418318861,226689.0531088147,168001.00043453972,0
25637.74030649851,7747.398546600988,4376.569229894664,3337.5510031743365,3310.276867731404,3122.7810953686135,2573.46973027842,2284.9727175885428,0
